trial,rounds,diff_bits,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent
80,10,81,31.640625,31.640625,81.25,27.046568627450977
81,10,100,39.0625,39.0625,96.875,29.767156862745097
82,10,70,27.34375,27.34375,71.875,23.235294117647058
83,10,84,32.8125,32.8125,93.75,20.061274509803923
84,10,99,38.671875,38.671875,93.75,27.414215686274513
85,10,98,38.28125,38.28125,87.5,28.872549019607842
86,10,94,36.71875,36.71875,96.875,27.80637254901961
87,10,81,31.640625,31.640625,71.875,22.07107843137255
88,10,98,38.28125,38.28125,93.75,29.129901960784316
89,10,87,33.984375,33.984375,84.375,29.375
90,10,71,27.734375,27.734375,75.0,13.664215686274508
91,10,108,42.1875,42.1875,100.0,30.575980392156865
92,10,65,25.390625,25.390625,59.375,16.973039215686274
93,10,39,15.234375,15.234375,56.25,11.875
94,10,75,29.296875,29.296875,78.125,24.32598039215686
