trial,experiment,diff_bits,total_bits,diff_bytes,total_bytes,diff_sum_bytes,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent,key_a,key_b,key_diff_bit_percent
3,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_2_KeyA,DoctorSecretPass_2_Key@,48.4375
4,Key_Sensitivity,272,512,,,,,,,,DoctorSecretPass_3_KeyA,DoctorSecretPass_3_Key@,53.125
5,Key_Sensitivity,266,512,,,,,,,,DoctorSecretPass_4_KeyA,DoctorSecretPass_4_Key@,51.953125
6,Key_Sensitivity,236,512,,,,,,,,DoctorSecretPass_5_KeyA,DoctorSecretPass_5_Key@,46.09375
7,Key_Sensitivity,232,512,,,,,,,,DoctorSecretPass_6_KeyA,DoctorSecretPass_6_Key@,45.3125
8,Key_Sensitivity,234,512,,,,,,,,DoctorSecretPass_7_KeyA,DoctorSecretPass_7_Key@,45.703125
9,Key_Sensitivity,256,512,,,,,,,,DoctorSecretPass_8_KeyA,DoctorSecretPass_8_Key@,50.0
10,Key_Sensitivity,264,512,,,,,,,,DoctorSecretPass_9_KeyA,DoctorSecretPass_9_Key@,51.5625
11,Key_Sensitivity,252,512,,,,,,,,DoctorSecretPass_10_KeyA,DoctorSecretPass_10_Key@,49.21875
12,Key_Sensitivity,246,512,,,,,,,,DoctorSecretPass_11_KeyA,DoctorSecretPass_11_Key@,48.046875
13,Key_Sensitivity,238,512,,,,,,,,DoctorSecretPass_12_KeyA,DoctorSecretPass_12_Key@,46.484375
14,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_13_KeyA,DoctorSecretPass_13_Key@,48.4375
15,Key_Sensitivity,258,512,,,,,,,,DoctorSecretPass_14_KeyA,DoctorSecretPass_14_Key@,50.390625
16,Key_Sensitivity,276,512,,,,,,,,DoctorSecretPass_15_KeyA,DoctorSecretPass_15_Key@,53.90625
17,Key_Sensitivity,258,512,,,,,,,,DoctorSecretPass_16_KeyA,DoctorSecretPass_16_Key@,50.390625
